code,status_type,status_value,event_date,source,confidence,source_url,current_market,raw_path_count,raw_capture_dates,raw_paths,collection_target,notes
0099X0,trading_halt,halted,2026-07-03,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=IBKS제25호스팩; 사유=SPAC 합병(예비심사청구대상) | raw_capture_dates=2026-07-03
0099X0,trading_halt,halted,2026-07-08,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-08,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=IBKS제25호스팩; 사유=SPAC 합병(예비심사청구대상) | raw_capture_dates=2026-07-08
092590,market_alert,caution,2026-07-03,kind,high,https://kind.krx.co.kr/investwarn/investattentwarnrisky.do?method=investattentwarnriskyMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/market_alert_caution.xls,resolve_market_label,snapshot=market_alert_caution; 종목명=럭스피아; 유형=투자경고 지정예고; 공시일=2026-07-02 | raw_capture_dates=2026-07-03
092590,market_alert,warning,2026-07-06,kind,high,https://kind.krx.co.kr/investwarn/investattentwarnrisky.do?method=investattentwarnriskyMain,UNKNOWN,1,2026-07-08,_report/raw/2026/2026-07-08/kind/status-source-probe/market_alert_warning.xls,resolve_market_label,snapshot=market_alert_warning; 종목명=럭스피아; 공시일=2026-07-03 | raw_capture_dates=2026-07-08
149300,delisting,delisted,2026-05-20,kind,high,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,UNKNOWN,2,2026-07-03;2026-07-08,_report/raw/2026/2026-07-03/kind/status-source-probe/delisted_company.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/delisted_company.xls,resolve_market_label,"snapshot=delisted_company; 회사명=아퓨어스; 폐지사유=감사의견 의견거절 | merged_observations=2 | raw_capture_dates=2026-07-03,2026-07-08"
212310,trading_halt,halted,2026-07-03,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=오건에코텍; 사유=코넥스 주권 상장폐지 사유발생 | raw_capture_dates=2026-07-03
212310,trading_halt,halted,2026-07-08,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-08,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=오건에코텍; 사유=코넥스 주권 상장폐지 사유발생 | raw_capture_dates=2026-07-08
217880,market_alert,caution,2026-07-03,kind,high,https://kind.krx.co.kr/investwarn/investattentwarnrisky.do?method=investattentwarnriskyMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/market_alert_caution.xls,resolve_market_label,snapshot=market_alert_caution; 종목명=틸론; 유형=종가급변; 공시일=2026-07-02 | raw_capture_dates=2026-07-03
222670,trading_halt,halted,2026-07-03,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=플럼라인생명과학; 사유=코넥스 주권 상장폐지 사유발생 | raw_capture_dates=2026-07-03
222670,trading_halt,halted,2026-07-08,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-08,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=플럼라인생명과학; 사유=코넥스 주권 상장폐지 사유발생 | raw_capture_dates=2026-07-08
232530,trading_halt,halted,2026-07-03,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=이엠티; 사유=사업보고서 미제출 | raw_capture_dates=2026-07-03
232530,trading_halt,halted,2026-07-08,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-08,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=이엠티; 사유=사업보고서 미제출 | raw_capture_dates=2026-07-08
238170,delisting,delisted,2026-03-26,kind,high,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,UNKNOWN,2,2026-07-03;2026-07-08,_report/raw/2026/2026-07-03/kind/status-source-probe/delisted_company.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/delisted_company.xls,resolve_market_label,"snapshot=delisted_company; 회사명=엔에스엠; 폐지사유=피흡수합병 | merged_observations=2 | raw_capture_dates=2026-07-03,2026-07-08"
238500,trading_halt,halted,2026-07-03,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=솔루믹스; 사유=코넥스 주권 상장폐지 사유발생 | raw_capture_dates=2026-07-03
238500,trading_halt,halted,2026-07-08,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-08,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=솔루믹스; 사유=코넥스 주권 상장폐지 사유발생 | raw_capture_dates=2026-07-08
257990,delisting,delisted,2026-06-01,kind,high,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,UNKNOWN,2,2026-07-03;2026-07-08,_report/raw/2026/2026-07-03/kind/status-source-probe/delisted_company.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/delisted_company.xls,resolve_market_label,"snapshot=delisted_company; 회사명=나우코스; 폐지사유=타법인의 완전자회사로 편입 | merged_observations=2 | raw_capture_dates=2026-07-03,2026-07-08"
258050,trading_halt,halted,2026-07-03,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=테크트랜스; 사유=코넥스 주권 상장폐지 사유발생 | raw_capture_dates=2026-07-03
258050,trading_halt,halted,2026-07-08,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-08,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=테크트랜스; 사유=코넥스 주권 상장폐지 사유발생 | raw_capture_dates=2026-07-08
265690,trading_halt,halted,2026-07-03,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls,resolve_market_label,"snapshot=trading_halt; 종목명=ACE 러시아MSCI(합성); 사유=투자유의종목(ETF,ETN) | raw_capture_dates=2026-07-03"
265690,trading_halt,halted,2026-07-08,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-08,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,resolve_market_label,"snapshot=trading_halt; 종목명=ACE 러시아MSCI(합성); 사유=투자유의종목(ETF,ETN) | raw_capture_dates=2026-07-08"
266170,trading_halt,halted,2026-07-03,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=레드우즈; 사유=코넥스 주권 상장폐지 사유발생 | raw_capture_dates=2026-07-03
266170,trading_halt,halted,2026-07-08,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-08,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=레드우즈; 사유=코넥스 주권 상장폐지 사유발생 | raw_capture_dates=2026-07-08
266350,trading_halt,halted,2026-07-03,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=팡스카이; 사유=기타 투자자보호 | raw_capture_dates=2026-07-03
266350,trading_halt,halted,2026-07-08,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-08,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=팡스카이; 사유=기타 투자자보호 | raw_capture_dates=2026-07-08
267080,trading_halt,halted,2026-07-03,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=세븐브로이맥주; 사유=코넥스 주권 상장폐지 사유발생 | raw_capture_dates=2026-07-03
267080,trading_halt,halted,2026-07-08,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-08,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=세븐브로이맥주; 사유=코넥스 주권 상장폐지 사유발생 | raw_capture_dates=2026-07-08
279060,trading_halt,halted,2026-07-03,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=이노벡스; 사유=코넥스 주권 상장폐지 사유발생 | raw_capture_dates=2026-07-03
279060,trading_halt,halted,2026-07-08,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-08,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=이노벡스; 사유=코넥스 주권 상장폐지 사유발생 | raw_capture_dates=2026-07-08
288490,delisting,delisted,2026-02-09,kind,high,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,UNKNOWN,2,2026-07-03;2026-07-08,_report/raw/2026/2026-07-03/kind/status-source-probe/delisted_company.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/delisted_company.xls,resolve_market_label,"snapshot=delisted_company; 회사명=나라소프트; 폐지사유=지정자문인 선임계약 해지 후 30일 이내 미체결 | merged_observations=2 | raw_capture_dates=2026-07-03,2026-07-08"
308700,delisting,delisted,2026-01-14,kind,high,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,UNKNOWN,2,2026-07-03;2026-07-08,_report/raw/2026/2026-07-03/kind/status-source-probe/delisted_company.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/delisted_company.xls,resolve_market_label,"snapshot=delisted_company; 회사명=테크엔; 폐지사유=지정자문인 선임계약 해지 후 30일 이내 미체결(2025.5.15限) | merged_observations=2 | raw_capture_dates=2026-07-03,2026-07-08"
309710,managed_issue,designated,2026-04-07,kind,high,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,UNKNOWN,2,2026-07-03;2026-07-08,_report/raw/2026/2026-07-03/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,resolve_market_label,"snapshot=managed_issue; 종목명=아이티켐; 지정사유=상장폐지사유 발생 | merged_observations=2 | raw_capture_dates=2026-07-03,2026-07-08"
309710,trading_halt,halted,2026-07-03,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=아이티켐; 사유=상장폐지 사유발생 | raw_capture_dates=2026-07-03
309710,trading_halt,halted,2026-07-08,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-08,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=아이티켐; 사유=상장폐지 사유발생 | raw_capture_dates=2026-07-08
327610,trading_halt,halted,2026-07-03,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=펨토바이오메드; 사유=지정자문인 계약해지 | raw_capture_dates=2026-07-03
327610,trading_halt,halted,2026-07-08,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-08,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=펨토바이오메드; 사유=지정자문인 계약해지 | raw_capture_dates=2026-07-08
341310,delisting,delisted,2026-02-24,kind,high,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,UNKNOWN,2,2026-07-03;2026-07-08,_report/raw/2026/2026-07-03/kind/status-source-probe/delisted_company.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/delisted_company.xls,resolve_market_label,"snapshot=delisted_company; 회사명=이앤에치; 폐지사유=지정자문인 선임계약 해지 후 30일 이내 미체결('26.2.5限) | merged_observations=2 | raw_capture_dates=2026-07-03,2026-07-08"
343090,delisting,delisted,2026-01-16,kind,high,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,UNKNOWN,2,2026-07-03;2026-07-08,_report/raw/2026/2026-07-03/kind/status-source-probe/delisted_company.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/delisted_company.xls,resolve_market_label,"snapshot=delisted_company; 회사명=HLB사이언스; 폐지사유=피흡수합병 | merged_observations=2 | raw_capture_dates=2026-07-03,2026-07-08"
346010,trading_halt,halted,2026-07-03,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=타이드; 사유=코넥스 주권 상장폐지 사유발생 | raw_capture_dates=2026-07-03
346010,trading_halt,halted,2026-07-08,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-08,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=타이드; 사유=코넥스 주권 상장폐지 사유발생 | raw_capture_dates=2026-07-08
368030,delisting,delisted,2026-05-14,kind,high,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,UNKNOWN,2,2026-07-03;2026-07-08,_report/raw/2026/2026-07-03/kind/status-source-probe/delisted_company.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/delisted_company.xls,resolve_market_label,"snapshot=delisted_company; 회사명=창대정밀; 폐지사유=감사의견 한정(감사범위 제한) | merged_observations=2 | raw_capture_dates=2026-07-03,2026-07-08"
373790,managed_issue,designated,2026-07-01,kind,high,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,UNKNOWN,2,2026-07-03;2026-07-08,_report/raw/2026/2026-07-03/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,resolve_market_label,"snapshot=managed_issue; 종목명=KIWOOM 미국방어배당성장나스닥; 지정사유=ETF 신탁원본액 및 순자산총액이 50억원 미만(반기말 현재) | merged_observations=2 | raw_capture_dates=2026-07-03,2026-07-08"
397420,managed_issue,designated,2026-07-01,kind,high,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,UNKNOWN,2,2026-07-03;2026-07-08,_report/raw/2026/2026-07-03/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,resolve_market_label,"snapshot=managed_issue; 종목명=RISE 국채선물5년추종; 지정사유=ETF 신탁원본액 및 순자산총액이 50억원 미만(반기말 현재) | merged_observations=2 | raw_capture_dates=2026-07-03,2026-07-08"
424460,managed_issue,designated,2026-07-01,kind,high,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,UNKNOWN,2,2026-07-03;2026-07-08,_report/raw/2026/2026-07-03/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,resolve_market_label,"snapshot=managed_issue; 종목명=HANARO 글로벌워터MSCI(합성); 지정사유=ETF 신탁원본액 및 순자산총액이 50억원 미만(반기말 현재) | merged_observations=2 | raw_capture_dates=2026-07-03,2026-07-08"
454180,managed_issue,designated,2026-07-01,kind,high,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,UNKNOWN,2,2026-07-03;2026-07-08,_report/raw/2026/2026-07-03/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,resolve_market_label,"snapshot=managed_issue; 종목명=KIWOOM 차이나내수소비TOP CSI; 지정사유=ETF 신탁원본액 및 순자산총액이 50억원 미만(반기말 현재) | merged_observations=2 | raw_capture_dates=2026-07-03,2026-07-08"
463020,market_alert,caution,2026-07-03,kind,high,https://kind.krx.co.kr/investwarn/investattentwarnrisky.do?method=investattentwarnriskyMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/market_alert_caution.xls,resolve_market_label,snapshot=market_alert_caution; 종목명=뉴엔AI; 유형=투자경고 지정해제; 공시일=2026-07-02 | raw_capture_dates=2026-07-03
489010,managed_issue,designated,2026-07-01,kind,high,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,UNKNOWN,2,2026-07-03;2026-07-08,_report/raw/2026/2026-07-03/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,resolve_market_label,"snapshot=managed_issue; 종목명=PLUS 글로벌AI인프라; 지정사유=ETF 신탁원본액 및 순자산총액이 50억원 미만(반기말 현재) | merged_observations=2 | raw_capture_dates=2026-07-03,2026-07-08"
495900,delisting,delisted,2026-01-27,kind,high,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,UNKNOWN,2,2026-07-03;2026-07-08,_report/raw/2026/2026-07-03/kind/status-source-probe/delisted_company.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/delisted_company.xls,resolve_market_label,"snapshot=delisted_company; 회사명=에이엠시지; 폐지사유=상장폐지 신청 | merged_observations=2 | raw_capture_dates=2026-07-03,2026-07-08"
